"","x"
"1465",153
"1466",117
"1467",96
"1468",128
"1469",74
"1470",69
"1471",244
"1472",90
"1473",195
"1474",193
"1475",163
"1476",90
"1477",152
"1478",88
"1479",142
"1480",109
"1481",127
"1482",70
"1483",101
"1484",143
"1485",94
"1486",49
"1487",181
"1488",104
"1489",73
"1490",102
"1491",330
"1492",111
"1493",185
"1494",355
"1495",262
"1496",16
"1497",143
"1498",147
"1499",77
"1500",133
"1501",96
"1502",191
"1503",165
"1504",161
"1505",136
"1506",471
"1507",248
"1508",26
"1509",112
"1510",118
"1511",57
"1512",84
"1513",89
"1514",161
"1515",121
"1516",137
"1517",100
"1518",176
"1519",239
"1520",40
"1521",154
"1522",99
"1523",153
"1524",77
"1525",101
"1526",133
"1527",279
"1528",82
"1529",110
"1530",171
"1531",153
"1532",151
"1533",194
"1534",233
"1535",111
"1536",116
"1537",202
"1538",195
"1539",165
"1540",148
"1541",133
"1542",304
"1543",176
"1544",102
"1545",189
"1546",170
"1547",65
"1548",121
"1549",151
"1550",135
"1551",231
"1552",58
"1553",150
"1554",160
"1555",77
"1556",88
"1557",154
"1558",153
"1559",243
"1560",189
"1561",86
"1562",108
"1563",245
"1564",159
"1565",269
"1566",195
"1567",267
"1568",145
"1569",200
"1570",128
"1571",128
"1572",102
"1573",117
"1574",287
"1575",324
"1576",171
"1577",1053
"1578",92
"1579",108
"1580",905
"1581",768
"1582",63
"1583",66
"1584",21
"1585",67
"1586",49
"1587",33
"1588",164
"1589",35
"1590",122
"1591",11
"1592",71
"1593",17
"1594",231
"1595",131
"1596",92
"1597",72
"1598",51
