"","x"
"1954",93
"1955",38
"1956",261
"1957",58
"1958",121
"1959",191
"1960",11
"1961",17
"1962",3
"1963",88
"1964",125
"1965",104
"1966",20
"1967",81
"1968",188
"1969",311
"1970",76
"1971",88
"1972",81
"1973",17
"1974",138
"1975",99
"1976",213
"1977",41
"1978",115
"1979",140
"1980",192
"1981",229
"1982",62
"1983",87
"1984",175
"1985",93
"1986",90
"1987",150
"1988",24
"1989",142
"1990",79
"1991",19
"1992",81
"1993",20
"1994",115
"1995",76
"1996",33
"1997",183
